# Data from Open Admin Data (https://openadmindata.org/np/) — CC-BY-4.0. Please cite: https://github.com/open-admin-data/nepal-administrative-divisions
id,level,level_name.local,level_name.en,name.local,name.en,name.slug,code.id,code.iso,parent.id,parent.name.local,parent.name.en,children_count.province,children_count.district,children_count.local_unit,zip_codes,geo.lat,geo.lon,source_url
NP0664,2,जिल्ला,District,कालिकोट,Kalikot,kalikot-np0664,NP0664,,NP06,कर्णाली,Karnali,,,9,21300,29.216,81.689,
NP0665,2,जिल्ला,District,मुगु,Mugu,mugu-np0665,NP0665,,NP06,कर्णाली,Karnali,,,4,21100,29.678,82.531,
NP0666,2,जिल्ला,District,हुम्ला,Humla,humla-np0666,NP0666,,NP06,कर्णाली,Karnali,,,7,21000,30.026,81.833,
NP07,1,प्रदेश,Province,सुदूरपश्चिम,Sudur Paschim,sudur-paschim-np07,NP07,,,,,,9,93,,29.321,80.919,https://openadmindata.org/np/provinces/sudur-paschim-np07/
NP0767,2,जिल्ला,District,बझाङ,Bajhang,bajhang-np0767,NP0767,,NP07,सुदूरपश्चिम,Sudur Paschim,,,13,10500,29.723,81.246,
NP0768,2,जिल्ला,District,बाजुरा,Bajura,bajura-np0768,NP0768,,NP07,सुदूरपश्चिम,Sudur Paschim,,,10,10600,29.611,81.577,
NP0769,2,जिल्ला,District,अछाम,Achham,achham-np0769,NP0769,,NP07,सुदूरपश्चिम,Sudur Paschim,,,11,10700,29.068,81.294,
NP0770,2,जिल्ला,District,डोटी,Doti,doti-np0770,NP0770,,NP07,सुदूरपश्चिम,Sudur Paschim,,,10,10800,29.188,80.862,
NP0771,2,जिल्ला,District,कैलाली,Kailali,kailali-np0771,NP0771,,NP07,सुदूरपश्चिम,Sudur Paschim,,,13,10900,28.731,80.904,
NP0772,2,जिल्ला,District,कञ्चनपुर,Kanchanpur,kanchanpur-np0772,NP0772,,NP07,सुदूरपश्चिम,Sudur Paschim,,,10,10400,28.845,80.283,
NP0773,2,जिल्ला,District,डडेलधुरा,Dadeldhura,dadeldhura-np0773,NP0773,,NP07,सुदूरपश्चिम,Sudur Paschim,,,7,10300,29.209,80.501,
NP0774,2,जिल्ला,District,बैतडी,Baitadi,baitadi-np0774,NP0774,,NP07,सुदूरपश्चिम,Sudur Paschim,,,10,10200,29.508,80.558,
NP0775,2,जिल्ला,District,दार्चुला,Darchula,darchula-np0775,NP0775,,NP07,सुदूरपश्चिम,Sudur Paschim,,,9,10100,29.926,80.789,
